"paquete","especialidad","tipo","canal","conceptos","imagenes","archivos","tamano","sha256","estado"
"segunda-oportunidad-b2b","Ley de Segunda Oportunidad","B2B","Google Search + Meta remarketing","6","42","47","4.2 MB","87edce416a122984b1252e4d3f274d81fde2fc37e60a838d877d984b33dee525","Contenido listo · marca y aprobación pendientes"
"segunda-oportunidad-b2c","Ley de Segunda Oportunidad","B2C","Google Search","6","42","47","4.2 MB","5e6d93ab8fe08a35e0e44514ef48817cee7620c77f7bfa62a0affaddfe199325","Contenido listo · marca y aprobación pendientes"
"herencias-b2b","Herencias","B2B","Google Search + Meta remarketing","6","42","47","4.2 MB","4da2959098af77e86ec9223c72d5dc4aaa129b636e3ebc962b41c0fc915ac564","Contenido listo · marca y aprobación pendientes"
"herencias-b2c","Herencias","B2C","Google Search","6","42","47","4.2 MB","2557b42d1bc29cc3a9e786bc9d6771ff97b5b8ba2e347bda3289f6830528cbfe","Contenido listo · marca y aprobación pendientes"
"divorcios-b2b","Divorcios","B2B","Google Search + Meta remarketing","6","42","47","2.5 MB","141eef2f1119ff8bdf1172e0ff24ffc78c267de286706d67bc91ab6f421083a8","Contenido listo · marca y aprobación pendientes"
"divorcios-b2c","Divorcios","B2C","Google Search","6","42","47","2.4 MB","68bd5c4f7b14539ce7088e6bd36d92e8f93d9e359548a60695461f166ec6fc8e","Contenido listo · marca y aprobación pendientes"
"toldos-b2b","Pérgolas, cerramientos y toldos premium","B2B","Google Search + Meta remarketing","6","42","47","5.2 MB","701e3b133c4bf6e7527f817ab6e8c2e874e0612fce209fc93d8b2ef7450341a3","Contenido listo · marca y aprobación pendientes"
"toldos-b2c","Pérgolas, cerramientos y toldos premium","B2C","Google Search + Meta","6","42","47","5.2 MB","70bfde1c3d834fdce5760bf887e2d33b71fff70f43951e3e0fdc7aafd1459e81","Contenido listo · marca y aprobación pendientes"
"coches-b2b","Coches con cargas, avería o siniestro","B2B","Google Search + Meta remarketing","6","42","47","4.4 MB","fab2478c26e18215cdde444c475527642179d929822fa67aad4a9f27f8155363","Contenido listo · marca y aprobación pendientes"
"coches-b2c","Coches con cargas, avería o siniestro","B2C","Google Search","6","42","47","4.4 MB","41608326a1e9733c4577aae76c721e100371222e3a99d49bc99a682d54980023","Contenido listo · marca y aprobación pendientes"
"estetica-b2b","Tratamientos estéticos y capilares de alto valor","B2B","Google Search + Meta remarketing","6","42","47","3.8 MB","1a9e56996b678b0bf48e05a7d493d082c193bbfd8350c279ac426ce73e828a1a","Contenido listo · marca y aprobación pendientes"
"estetica-b2c","Tratamientos estéticos y capilares de alto valor","B2C","Meta + Google Search","6","42","47","3.9 MB","d2e8fa523fa304bf0e10cee9ec4d597df81b1dad669f41e64dd61756e86dc19c","Contenido listo · marca y aprobación pendientes"
"climatizacion-b2b","Instalación, sustitución y aerotermia","B2B","Google Search + Meta remarketing","6","42","47","4.4 MB","b92f0826b7770ceafb66d4e167d2282ed53626efdcd80329080324e0ffd2f5ac","Contenido listo · marca y aprobación pendientes"
"climatizacion-b2c","Instalación, sustitución y aerotermia","B2C","Google Search","6","42","47","4.5 MB","7bc70f6a669f53599c2a70f424e9f5d24659b2238dfb6960462ce29b1251c1d6","Contenido listo · marca y aprobación pendientes"
"reformas-b2b","Reforma integral, cocina y rehabilitación","B2B","Google Search + Meta remarketing","6","42","47","4.5 MB","ada88d6adbbd9ce635e58f5be4c9a39fede0de5ad32482d685f6310f8b2b6b71","Contenido listo · marca y aprobación pendientes"
"reformas-b2c","Reforma integral, cocina y rehabilitación","B2C","Google Search + Meta","6","42","47","4.5 MB","20b7dba075352ba3a7ea4d5501c61686693ac6a096bfc5e6ec8ada9857c54eae","Contenido listo · marca y aprobación pendientes"
"dental-b2b","Implantes, rehabilitación y ortodoncia","B2B","Google Search + Meta remarketing","6","42","47","3.6 MB","5a1e371d6899532b25be4b4ba00c0565108af4ba6cec35ac056059972d2c8a93","Contenido listo · marca y aprobación pendientes"
"dental-b2c","Implantes, rehabilitación y ortodoncia","B2C","Google Search + Meta","6","42","47","3.7 MB","5764621902f6e40ff8734efb303fa0fd8490f3096e8fd932fa9a579f74188c42","Contenido listo · marca y aprobación pendientes"
"inmobiliario-b2b","Propietarios para inmobiliarias","B2B","Google Search + Meta remarketing","6","42","47","4.3 MB","f89c7c05ea9d1f1eb092351162a6eef1d82a044579b8e6e702a721d7a22d16b9","Contenido listo · marca y aprobación pendientes"
"inmobiliario-b2c","Propietarios para inmobiliarias","B2C","Google Search + Meta","6","42","47","4.3 MB","5b43a013f21624ac69de7f450123bb62a322b3c8655c97b5a9a0d80958573a11","Contenido listo · marca y aprobación pendientes"
"auditivos-b2b","Audición, movilidad y adaptación","B2B","Google Search + Meta remarketing","6","42","47","4.2 MB","936f0db7e7785616612f14ba7d60d89d26c1f89349d0f5ad8bc07176a866cfed","Contenido listo · marca y aprobación pendientes"
"auditivos-b2c","Audición, movilidad y adaptación","B2C","Google Search + Meta","6","42","47","4.2 MB","a17d6637960e609d3b4c2c83e436665d5ad27765fa1dd09f21009c8b88b80efb","Contenido listo · marca y aprobación pendientes"
"logistica-b2b","Mudanza, almacenaje y contenedor","B2B","Google Search + Meta remarketing","6","42","47","4.9 MB","c7fb9c511084bdca43747281bac62153ea66e8017d6e1a8dfc4b6d34e1238d1e","Contenido listo · marca y aprobación pendientes"
"logistica-b2c","Mudanza, almacenaje y contenedor","B2C","Google Search","6","42","47","5.0 MB","8e689d00574fd25fb34583343e3fe785242699eec514ea797e9f217b90f06a2b","Contenido listo · marca y aprobación pendientes"
