"sistema";"fase";"codigo";"ruta";"ambito";"titulo";"encaje_modelo";"premisa";"audiencia";"senal_entrada";"oferta";"canales";"embudo";"metrica_norte";"regla_decision";"activos";"cualificacion";"evidencia";"limites"
"Servicios jurídicos";"Ahora";"A";"Conseguir la cuenta";"RedVitalia → empresa";"Cuenta fundadora: un sistema separado para Segunda Oportunidad, Herencias o Divorcios";"75";"La primera venta es el sistema de RedVitalia a la empresa. Se entra con un diagnóstico específico, no con una presentación genérica de agencia.";"Despachos con área concursal, sucesoria o de familia, decisor accesible y capacidad semanal para consultas nuevas.";"La especialidad existe, pero la web, la compra de tráfico y el intake mezclan asuntos con economías distintas.";"Auditoría de demanda, filtro jurídico, tiempo de respuesta y devolución de asunto aceptado al origen.";"Teléfono | Email | LinkedIn | Referencia";"Lista con señal verificable → Apertura sectorial → Diagnóstico con decisor → Economía y capacidad → Piloto condicionado";"Diagnósticos B2B celebrados con decisor, datos y siguiente decisión.";"Avanzar solo cuando dolor, capacidad, economía, medición y decisor alcanzan el umbral del closer.";"Lista de cuentas con fuente | Guion por señal | Diagnóstico y scorecard | Plan de piloto con dependencias";"Existe una prioridad concreta y no solo curiosidad. | Hay capacidad operativa y responsable comercial. | Acepta medir consulta asistida, asunto aceptado y valor económico registrado.";"Registro verificable desde búsqueda hasta consulta y asunto aceptado; no basta con contar formularios. | Notas que separan dato, hipótesis y pendiente de confirmar.";"No prometer sentencias, plazos judiciales ni cancelación de deuda; revisión jurídica y humana obligatoria. | No inventar clientes, resultados, precios ni personalización."
"Servicios jurídicos";"Ahora";"B";"Capturar intención";"Empresa → oportunidad";"Tres intenciones jurídicas sin mezclarlas";"80";"Búsquedas explícitas sobre deuda, herencia bloqueada o divorcio complejo, cada una con landing, negativas y conversión propia.";"Personas o empresas que ya expresan el problema y buscan resolverlo ahora.";"Señal de entrada: Rama, provincia, complejidad, urgencia, capacidad de consulta y criterio de asunto aceptable.";"Captación y cualificación hasta consulta asistida, asunto aceptado y valor económico registrado.";"Google Search | remarketing educativo";"Intención específica → Anuncio por problema → Landing y filtro → Respuesta dentro del SLA → Resultado offline";"consulta asistida, asunto aceptado y valor económico registrado";"Escalar únicamente cuando la conversión final y la capacidad sostienen la economía; el volumen de formularios no decide.";"Mapa de términos y negativas | Landing específica | Formulario de cualificación | Importación del resultado final";"Rama, provincia, complejidad, urgencia, capacidad de consulta y criterio de asunto aceptable. | Zona, capacidad y exclusiones aplicadas antes de optimizar. | Consentimiento y dato de contacto válidos.";"Registro verificable desde búsqueda hasta consulta y asunto aceptado; no basta con contar formularios. | Consultas, llamadas y resultados trazados por campaña y término.";"No prometer sentencias, plazos judiciales ni cancelación de deuda; revisión jurídica y humana obligatoria. | No escalar por CPL si cae la calidad o la contribución."
"Servicios jurídicos";"Ahora";"C";"Crear demanda";"Mercado → interés";"Autoridad antes de la urgencia";"80";"Explicar proceso, documentación y errores evitables para construir confianza antes de que la persona elija despacho.";"Mercado relevante que reconoce parte del problema, pero aún no ha decidido actuar o comparar proveedores.";"Interacción con contenido útil, prueba autorizada o explicación del proceso.";"Educación y prueba que conducen a una conversación cualificada sobre un sistema separado para Segunda Oportunidad, Herencias o Divorcios.";"Meta Ads | vídeo corto propuesto | contenido | remarketing";"Problema reconocible → Contenido o caso → Interacción de calidad → Remarketing por objeción → Conversación cualificada";"Conversaciones cualificadas asistidas por contenido, no clics ni reproducciones aisladas.";"Mantener si incrementa conversación válida o reduce fricción sin degradar la economía de la ruta de intención.";"Guías por problema, mapas de proceso, preguntas frecuentes revisadas y piezas de autoridad del profesional. | Matriz de objeciones | Secuencia de remarketing | Prueba y permisos documentados";"La pieza corresponde a un subsegmento prioritario. | La acción final exige los mismos filtros que la ruta de intención. | La frecuencia y la exclusión se revisan por audiencia.";"Patrones creativos clasificados como copiar, adaptar, probar o descartar. | Registro verificable desde búsqueda hasta consulta y asunto aceptado; no basta con contar formularios.";"No prometer sentencias, plazos judiciales ni cancelación de deuda; revisión jurídica y humana obligatoria. | No convertir una hipótesis creativa en un caso o testimonio ficticio."
"Servicios jurídicos";"Ahora";"D";"Expandir la cuenta";"Resultado → crecimiento";"Abrir una segunda rama solo con señal";"84";"Replicar infraestructura y aprendizaje sin compartir campañas, economía ni promesas entre especialidades.";"Cuenta activa con capacidad, disciplina de datos y una primera combinación ya validada.";"Existe señal estable de consulta asistida, asunto aceptado y valor económico registrado y la operación cumple el SLA.";"Revisión de crecimiento basada en contribución, saturación, capacidad y aprendizaje transferible.";"Revisión mensual | experimentos | nueva zona | nuevo subsegmento";"Resultado offline → Cohorte por origen → Cuello de botella → Experimento limitado → Escala o rollback";"Contribución incremental con SLA y calidad estables.";"Escalar una combinación cada vez; pausar si empeoran margen, calidad, capacidad o trazabilidad.";"Dashboard de resultado final | Informe win/loss | Backlog de experimentos | Plan mutuo de expansión";"La primera ruta deja contribución defendible. | La empresa mantiene capacidad y velocidad de respuesta. | Existe una sola variable de expansión y un rollback claro.";"Registro verificable desde búsqueda hasta consulta y asunto aceptado; no basta con contar formularios. | Comparación antes/después con ventana, fuente y limitaciones visibles.";"No prometer sentencias, plazos judiciales ni cancelación de deuda; revisión jurídica y humana obligatoria. | No abrir una segunda vía para ocultar fallos del primer funnel."
"Toldos y protección solar";"Siguiente";"A";"Conseguir la cuenta";"RedVitalia → empresa";"Cuenta fundadora: un piloto monoproducto orientado a visita técnica y venta";"79";"La primera venta es el sistema de RedVitalia a la empresa. Se entra con un diagnóstico específico, no con una presentación genérica de agencia.";"Instaladores de pérgolas, cerramientos o toldos premium con obras reales, radio definido y capacidad de visita.";"Buen producto visual y ticket defendible, pero catálogo genérico, respuesta lenta o mezcla con reparaciones de bajo valor.";"Revisión de producto prioritario, ticket mínimo, radio, material visual, velocidad de visita y presupuesto.";"Teléfono | Email | LinkedIn | Referencia";"Lista con señal verificable → Apertura sectorial → Diagnóstico con decisor → Economía y capacidad → Piloto condicionado";"Diagnósticos B2B celebrados con decisor, datos y siguiente decisión.";"Avanzar solo cuando dolor, capacidad, economía, medición y decisor alcanzan el umbral del closer.";"Lista de cuentas con fuente | Guion por señal | Diagnóstico y scorecard | Plan de piloto con dependencias";"Existe una prioridad concreta y no solo curiosidad. | Hay capacidad operativa y responsable comercial. | Acepta medir visita asistida, presupuesto emitido, venta y margen.";"Obras propias autorizadas, fechas de presupuesto y ventas devueltas al sistema. | Notas que separan dato, hipótesis y pendiente de confirmar.";"No usar obras ajenas, rangos inventados ni disponibilidad ficticia; separar reparación y producto premium. | No inventar clientes, resultados, precios ni personalización."
"Toldos y protección solar";"Siguiente";"B";"Capturar intención";"Empresa → oportunidad";"Proyecto premium por producto y municipio";"84";"Búsquedas de pérgola bioclimática, cerramiento o motorización con intención de instalación, no de bricolaje.";"Personas o empresas que ya expresan el problema y buscan resolverlo ahora.";"Señal de entrada: Propiedad, zona, medidas, uso del espacio, rango de inversión, plazo y disponibilidad de visita.";"Captación y cualificación hasta visita asistida, presupuesto emitido, venta y margen.";"Google Search | Meta visual";"Intención específica → Anuncio por problema → Landing y filtro → Respuesta dentro del SLA → Resultado offline";"visita asistida, presupuesto emitido, venta y margen";"Escalar únicamente cuando la conversión final y la capacidad sostienen la economía; el volumen de formularios no decide.";"Mapa de términos y negativas | Landing específica | Formulario de cualificación | Importación del resultado final";"Propiedad, zona, medidas, uso del espacio, rango de inversión, plazo y disponibilidad de visita. | Zona, capacidad y exclusiones aplicadas antes de optimizar. | Consentimiento y dato de contacto válidos.";"Obras propias autorizadas, fechas de presupuesto y ventas devueltas al sistema. | Consultas, llamadas y resultados trazados por campaña y término.";"No usar obras ajenas, rangos inventados ni disponibilidad ficticia; separar reparación y producto premium. | No escalar por CPL si cae la calidad o la contribución."
"Toldos y protección solar";"Siguiente";"C";"Crear demanda";"Mercado → interés";"Inspiración que termina en proyecto";"84";"Convertir obras reales en deseo, explicar decisiones técnicas y conducir a una valoración, no a un catálogo vacío.";"Mercado relevante que reconoce parte del problema, pero aún no ha decidido actuar o comparar proveedores.";"Interacción con contenido útil, prueba autorizada o explicación del proceso.";"Educación y prueba que conducen a una conversación cualificada sobre un piloto monoproducto orientado a visita técnica y venta.";"Meta Ads | vídeo corto propuesto | contenido | remarketing";"Problema reconocible → Contenido o caso → Interacción de calidad → Remarketing por objeción → Conversación cualificada";"Conversaciones cualificadas asistidas por contenido, no clics ni reproducciones aisladas.";"Mantener si incrementa conversación válida o reduce fricción sin degradar la economía de la ruta de intención.";"Casos autorizados por producto y zona, secuencia antes/después, materiales y explicación de la visita técnica. | Matriz de objeciones | Secuencia de remarketing | Prueba y permisos documentados";"La pieza corresponde a un subsegmento prioritario. | La acción final exige los mismos filtros que la ruta de intención. | La frecuencia y la exclusión se revisan por audiencia.";"Patrones creativos clasificados como copiar, adaptar, probar o descartar. | Obras propias autorizadas, fechas de presupuesto y ventas devueltas al sistema.";"No usar obras ajenas, rangos inventados ni disponibilidad ficticia; separar reparación y producto premium. | No convertir una hipótesis creativa en un caso o testimonio ficticio."
"Toldos y protección solar";"Siguiente";"D";"Expandir la cuenta";"Resultado → crecimiento";"Escalar producto × municipio";"78";"Abrir nuevas combinaciones únicamente cuando visita, presupuesto, venta y margen estén conectados.";"Cuenta activa con capacidad, disciplina de datos y una primera combinación ya validada.";"Existe señal estable de visita asistida, presupuesto emitido, venta y margen y la operación cumple el SLA.";"Revisión de crecimiento basada en contribución, saturación, capacidad y aprendizaje transferible.";"Revisión mensual | experimentos | nueva zona | nuevo subsegmento";"Resultado offline → Cohorte por origen → Cuello de botella → Experimento limitado → Escala o rollback";"Contribución incremental con SLA y calidad estables.";"Escalar una combinación cada vez; pausar si empeoran margen, calidad, capacidad o trazabilidad.";"Dashboard de resultado final | Informe win/loss | Backlog de experimentos | Plan mutuo de expansión";"La primera ruta deja contribución defendible. | La empresa mantiene capacidad y velocidad de respuesta. | Existe una sola variable de expansión y un rollback claro.";"Obras propias autorizadas, fechas de presupuesto y ventas devueltas al sistema. | Comparación antes/después con ventana, fuente y limitaciones visibles.";"No usar obras ajenas, rangos inventados ni disponibilidad ficticia; separar reparación y producto premium. | No abrir una segunda vía para ocultar fallos del primer funnel."
"Compra de coches con cargas";"Siguiente";"A";"Conseguir la cuenta";"RedVitalia → empresa";"Cuenta fundadora: un sistema por problema del vehículo con tasación y señal económica offline";"90";"La primera venta es el sistema de RedVitalia a la empresa. Se entra con un diagnóstico específico, no con una presentación genérica de agencia.";"Compradores profesionales con caja, logística, tasación rápida y criterios escritos para vehículos complejos.";"Aceptan averías, siniestros o cargas, pero comunican una compra genérica y no devuelven margen por operación.";"Mapa de aceptación, documentación, tiempo de oferta, cobertura logística, caja y margen por compra.";"Teléfono | Email | LinkedIn | Referencia";"Lista con señal verificable → Apertura sectorial → Diagnóstico con decisor → Economía y capacidad → Piloto condicionado";"Diagnósticos B2B celebrados con decisor, datos y siguiente decisión.";"Avanzar solo cuando dolor, capacidad, economía, medición y decisor alcanzan el umbral del closer.";"Lista de cuentas con fuente | Guion por señal | Diagnóstico y scorecard | Plan de piloto con dependencias";"Existe una prioridad concreta y no solo curiosidad. | Hay capacidad operativa y responsable comercial. | Acepta medir vehículo valorable, oferta aceptada, recogida y margen.";"Compra y margen importados por origen, junto con tiempos reales de tasación y recogida. | Notas que separan dato, hipótesis y pendiente de confirmar.";"No garantizar valoración, cancelación de cargas ni recogida sin revisar documentación, zona y capacidad. | No inventar clientes, resultados, precios ni personalización."
"Compra de coches con cargas";"Siguiente";"B";"Capturar intención";"Empresa → oportunidad";"Una landing por problema del vehículo";"89";"Separar avería, siniestro, reserva de dominio, embargo y financiación pendiente para no perder intención específica.";"Personas o empresas que ya expresan el problema y buscan resolverlo ahora.";"Señal de entrada: Titularidad, vehículo, estado, carga, ubicación, documentación, fotos, urgencia y expectativa.";"Captación y cualificación hasta vehículo valorable, oferta aceptada, recogida y margen.";"Google Search | remarketing de decisión";"Intención específica → Anuncio por problema → Landing y filtro → Respuesta dentro del SLA → Resultado offline";"vehículo valorable, oferta aceptada, recogida y margen";"Escalar únicamente cuando la conversión final y la capacidad sostienen la economía; el volumen de formularios no decide.";"Mapa de términos y negativas | Landing específica | Formulario de cualificación | Importación del resultado final";"Titularidad, vehículo, estado, carga, ubicación, documentación, fotos, urgencia y expectativa. | Zona, capacidad y exclusiones aplicadas antes de optimizar. | Consentimiento y dato de contacto válidos.";"Compra y margen importados por origen, junto con tiempos reales de tasación y recogida. | Consultas, llamadas y resultados trazados por campaña y término.";"No garantizar valoración, cancelación de cargas ni recogida sin revisar documentación, zona y capacidad. | No escalar por CPL si cae la calidad o la contribución."
