Campaign Name,Ad Set Name,Ad Name,Image File Name,Primary Text,Title,Link Description,Call to Action,Link
redvitalia_E1,E1_AS,E1_feed_P1,redvitalia_E1_feed.png,"Una consulta entra. ¿Quién la atiende y cuál es el siguiente paso? En RedVitalia conectamos captación, filtro y seguimiento para despachos de abogados. Hablemos de vuestra especialidad y zona.","Cada consulta, un siguiente paso",Hablemos de tu despacho,Mas informacion,https://redvitalia.srv1480016.hstgr.cloud/abogados/redvitalia.html?utm_source=meta&utm_medium=paid_social&utm_campaign=redvitalia_abogados&utm_content=e1_feed
redvitalia_E1,E1_AS,E1_feed_P2,redvitalia_E1_feed.png,"El informe no termina en los formularios recibidos. También importa saber qué consultas encajan, cuáles llegan a cita y cuáles se convierten en asuntos. Revisemos el recorrido de tu despacho.","Después del clic, ¿qué ocurre?","Servicio, zona y seguimiento",Mas informacion,https://redvitalia.srv1480016.hstgr.cloud/abogados/redvitalia.html?utm_source=meta&utm_medium=paid_social&utm_campaign=redvitalia_abogados&utm_content=e1_feed
redvitalia_E1,E1_AS,E1_feed_P3,redvitalia_E1_feed.png,Cada consulta necesita un responsable y una próxima acción. RedVitalia ayuda a definir un proceso de captación y atención que el despacho pueda seguir y revisar. Empecemos por una conversación.,Captación y atención conectadas,Un siguiente paso concreto,Mas informacion,https://redvitalia.srv1480016.hstgr.cloud/abogados/redvitalia.html?utm_source=meta&utm_medium=paid_social&utm_campaign=redvitalia_abogados&utm_content=e1_feed
redvitalia_E1,E1_AS,E1_feed_P4,redvitalia_E1_feed.png,"Antes de pedir más consultas, conviene entender qué ocurre con las que ya llegan. Revisamos contigo el recorrido desde la campaña hasta la atención del despacho y concretamos el primer paso.",Un plan para tu despacho,Alcance acordado por escrito,Mas informacion,https://redvitalia.srv1480016.hstgr.cloud/abogados/redvitalia.html?utm_source=meta&utm_medium=paid_social&utm_campaign=redvitalia_abogados&utm_content=e1_feed
redvitalia_E1,E1_AS,E1_feed_P5,redvitalia_E1_feed.png,"Campañas, página y seguimiento tienen que contar la misma historia. RedVitalia prepara propuestas de captación por especialidad, con alcance y medición acordados. Cuéntanos qué servicio queréis impulsar.",Revisemos vuestra captación,De la consulta a la atención,Mas informacion,https://redvitalia.srv1480016.hstgr.cloud/abogados/redvitalia.html?utm_source=meta&utm_medium=paid_social&utm_campaign=redvitalia_abogados&utm_content=e1_feed
redvitalia_E2,E2_AS,E2_feed_P1,redvitalia_E2_feed.png,"Segunda Oportunidad, herencias y familia no empiezan con la misma conversación. Preparamos la captación alrededor de una especialidad y una zona. Descubre cómo trabajaríamos con tu despacho.",Una especialidad. Un mensaje propio.,Zona y servicio definidos,Mas informacion,https://redvitalia.srv1480016.hstgr.cloud/abogados/redvitalia.html?utm_source=meta&utm_medium=paid_social&utm_campaign=redvitalia_abogados&utm_content=e2_feed
redvitalia_E2,E2_AS,E2_feed_P2,redvitalia_E2_feed.png,"Una página específica permite explicar mejor el servicio y el siguiente paso. En RedVitalia alineamos mensaje, campaña y atención para despachos de abogados. Hablemos de la especialidad que queréis impulsar.",Captación por especialidad,Mira los modelos de landing,Mas informacion,https://redvitalia.srv1480016.hstgr.cloud/abogados/redvitalia.html?utm_source=meta&utm_medium=paid_social&utm_campaign=redvitalia_abogados&utm_content=e2_feed
redvitalia_E2,E2_AS,E2_feed_P3,redvitalia_E2_feed.png,"Elegir qué servicio impulsar es el primer paso. Después vienen el mensaje, la página y el proceso para atender las consultas. RedVitalia prepara contigo una propuesta con ese recorrido claro.",La página para ese servicio,Una propuesta adaptada,Mas informacion,https://redvitalia.srv1480016.hstgr.cloud/abogados/redvitalia.html?utm_source=meta&utm_medium=paid_social&utm_campaign=redvitalia_abogados&utm_content=e2_feed
redvitalia_E2,E2_AS,E2_feed_P4,redvitalia_E2_feed.png,"El mismo anuncio no tiene por qué servir para todos los servicios de un despacho. Revisamos especialidad, zona y criterios de encaje antes de plantear la captación. Conoce nuestra forma de trabajar.",Elige el servicio que quieres impulsar,Mensaje y atención alineados,Mas informacion,https://redvitalia.srv1480016.hstgr.cloud/abogados/redvitalia.html?utm_source=meta&utm_medium=paid_social&utm_campaign=redvitalia_abogados&utm_content=e2_feed
redvitalia_E2,E2_AS,E2_feed_P5,redvitalia_E2_feed.png,Tres modelos jurídicos para explorar una misma idea: que el mensaje responda al servicio que se busca. Mira las páginas y hablemos de cómo adaptar el recorrido a tu despacho.,Marketing para despachos,Hablemos de vuestra prioridad,Mas informacion,https://redvitalia.srv1480016.hstgr.cloud/abogados/redvitalia.html?utm_source=meta&utm_medium=paid_social&utm_campaign=redvitalia_abogados&utm_content=e2_feed
redvitalia_E3,E3_AS,E3_feed_P1,redvitalia_E3_feed.png,"¿El problema está en atraer consultas, confirmar el encaje o llegar a una cita? Revisemos el recorrido de vuestro despacho y decidamos qué conviene mejorar primero.",¿Dónde se frena la próxima cita?,Revisemos el proceso,Mas informacion,https://redvitalia.srv1480016.hstgr.cloud/abogados/redvitalia.html?utm_source=meta&utm_medium=paid_social&utm_campaign=redvitalia_abogados&utm_content=e3_feed
redvitalia_E3,E3_AS,E3_feed_P2,redvitalia_E3_feed.png,"Más tráfico no resuelve todos los problemas de captación. Una primera revisión puede ayudar a separar demanda, encaje y seguimiento. Hablemos de cómo llegan y se atienden las consultas en vuestro despacho.",Revisemos el recorrido,Detecta qué revisar primero,Mas informacion,https://redvitalia.srv1480016.hstgr.cloud/abogados/redvitalia.html?utm_source=meta&utm_medium=paid_social&utm_campaign=redvitalia_abogados&utm_content=e3_feed
redvitalia_E3,E3_AS,E3_feed_P3,redvitalia_E3_feed.png,"Una especialidad, una zona y una pregunta: ¿qué ocurre entre la solicitud y la cita? RedVitalia propone empezar por el proceso antes de definir la campaña. Solicita una primera conversación.",El primer paso es entender,"Demanda, encaje y seguimiento",Mas informacion,https://redvitalia.srv1480016.hstgr.cloud/abogados/redvitalia.html?utm_source=meta&utm_medium=paid_social&utm_campaign=redvitalia_abogados&utm_content=e3_feed
redvitalia_E3,E3_AS,E3_feed_P4,redvitalia_E3_feed.png,"Una consulta sin próxima acción deja una pregunta abierta. Revisamos con el despacho quién atiende, cómo se confirma el encaje y qué queda registrado. Conoce el primer paso.",Captación con contexto,Sin promesas de clientes,Mas informacion,https://redvitalia.srv1480016.hstgr.cloud/abogados/redvitalia.html?utm_source=meta&utm_medium=paid_social&utm_campaign=redvitalia_abogados&utm_content=e3_feed
redvitalia_E3,E3_AS,E3_feed_P5,redvitalia_E3_feed.png,"Las decisiones de captación necesitan contexto. Consultas recibidas, citas asistidas y asuntos aceptados ayudan a entender el recorrido. Hablemos de qué medís hoy y qué os falta por ver.",Una conversación para empezar,Conoce la propuesta,Mas informacion,https://redvitalia.srv1480016.hstgr.cloud/abogados/redvitalia.html?utm_source=meta&utm_medium=paid_social&utm_campaign=redvitalia_abogados&utm_content=e3_feed
redvitalia_E4,E4_AS,E4_feed_P1,redvitalia_E4_feed.png,"Las campañas deben tener un alcance claro y cuentas del despacho. En RedVitalia concretamos qué se prepara, quién lo atiende y cómo se revisa. Hablemos de vuestra captación.",Tus campañas. Tus cuentas.,Cuentas del despacho,Mas informacion,https://redvitalia.srv1480016.hstgr.cloud/abogados/redvitalia.html?utm_source=meta&utm_medium=paid_social&utm_campaign=redvitalia_abogados&utm_content=e4_feed
redvitalia_E4,E4_AS,E4_feed_P2,redvitalia_E4_feed.png,"Antes de empezar una campaña, dejamos por escrito entregables, responsabilidades y medición. Una propuesta de captación que el despacho pueda revisar y entender.",Un alcance claro desde el inicio,Entregables por escrito,Mas informacion,https://redvitalia.srv1480016.hstgr.cloud/abogados/redvitalia.html?utm_source=meta&utm_medium=paid_social&utm_campaign=redvitalia_abogados&utm_content=e4_feed
redvitalia_E4,E4_AS,E4_feed_P3,redvitalia_E4_feed.png,"Cambiar la captación no siempre exige cambiarlo todo. Revisamos la web, las cuentas y el proceso que ya tiene el despacho para concretar qué tramo necesita trabajo.",Captación con responsabilidades,Inversión y alcance separados,Mas informacion,https://redvitalia.srv1480016.hstgr.cloud/abogados/redvitalia.html?utm_source=meta&utm_medium=paid_social&utm_campaign=redvitalia_abogados&utm_content=e4_feed
redvitalia_E4,E4_AS,E4_feed_P4,redvitalia_E4_feed.png,"El despacho debe saber qué paga y qué está ocurriendo. Planteamos campañas con una especialidad definida y revisiones sobre consultas, atención y próximos pasos. Conoce RedVitalia.",Decide con una propuesta concreta,"Antes de empezar, claridad",Mas informacion,https://redvitalia.srv1480016.hstgr.cloud/abogados/redvitalia.html?utm_source=meta&utm_medium=paid_social&utm_campaign=redvitalia_abogados&utm_content=e4_feed
redvitalia_E4,E4_AS,E4_feed_P5,redvitalia_E4_feed.png,"Una propuesta útil permite decidir: alcance, inversión en medios, preparación y responsabilidades. Hablemos de lo que necesita vuestro despacho antes de poner una campaña en marcha.",Revisemos lo que ya funciona,Una propuesta para revisar,Mas informacion,https://redvitalia.srv1480016.hstgr.cloud/abogados/redvitalia.html?utm_source=meta&utm_medium=paid_social&utm_campaign=redvitalia_abogados&utm_content=e4_feed
redvitalia_E5,E5_AS,E5_feed_P1,redvitalia_E5_feed.png,"Gestión de Google Ads para despachos: 400 € netos al mes, más 84 € de IVA. Publicidad pagada a Google por separado. Preparación, landing y herramientas según necesidades. Hablemos del alcance.",Google Ads: gestión por 400 €/mes,Medios y preparación aparte,Mas informacion,https://redvitalia.srv1480016.hstgr.cloud/abogados/redvitalia.html?utm_source=meta&utm_medium=paid_social&utm_campaign=redvitalia_abogados&utm_content=e5_feed
redvitalia_E5,E5_AS,E5_feed_P2,redvitalia_E5_feed.png,400 € al mes + IVA por la gestión de Google Ads. Una especialidad y zona acordadas. El presupuesto publicitario y la preparación se valoran aparte. Solicita una propuesta para vuestro despacho.,400 €/mes + IVA de gestión,400 € + 84 € IVA de gestión,Mas informacion,https://redvitalia.srv1480016.hstgr.cloud/abogados/redvitalia.html?utm_source=meta&utm_medium=paid_social&utm_campaign=redvitalia_abogados&utm_content=e5_feed
redvitalia_E5,E5_AS,E5_feed_P3,redvitalia_E5_feed.png,"Primero, qué necesita el despacho. Después, la inversión. Nuestra gestión de Google Ads parte de una tarifa de 400 € netos al mes; medios, preparación y herramientas van por separado. Conoce el servicio.",Primero el alcance. Después el precio.,Medios pagados a Google aparte,Mas informacion,https://redvitalia.srv1480016.hstgr.cloud/abogados/redvitalia.html?utm_source=meta&utm_medium=paid_social&utm_campaign=redvitalia_abogados&utm_content=e5_feed
redvitalia_E5,E5_AS,E5_feed_P4,redvitalia_E5_feed.png,"Para comparar una propuesta, conviene separar gestión, publicidad y preparación. RedVitalia ofrece gestión de Google Ads por 400 €/mes + IVA y concreta el resto según el alcance acordado.",Una propuesta con los costes claros,Landing y herramientas aparte,Mas informacion,https://redvitalia.srv1480016.hstgr.cloud/abogados/redvitalia.html?utm_source=meta&utm_medium=paid_social&utm_campaign=redvitalia_abogados&utm_content=e5_feed
redvitalia_E5,E5_AS,E5_feed_P5,redvitalia_E5_feed.png,"Una tarifa clara no sustituye a un buen diagnóstico. Revisemos especialidad, zona y capacidad de atención. Gestión de Google Ads: 400 €/mes + IVA; inversión publicitaria y preparación aparte.",Gestión de Google Ads para despachos,Consulta el alcance,Mas informacion,https://redvitalia.srv1480016.hstgr.cloud/abogados/redvitalia.html?utm_source=meta&utm_medium=paid_social&utm_campaign=redvitalia_abogados&utm_content=e5_feed
