archivo,uso,formato,extension,paginas_o_diapositivas,bytes,sha256
01-PRESENTACION-COMERCIAL-REDVITALIA.pdf,Reunión con prospecto,Lectura,PDF,12,329895,4C0B88214EE88809467C69B128696955A3825B5006935275B255556D5C5D2F1F
01-PRESENTACION-COMERCIAL-REDVITALIA.pptx,Reunión con prospecto,Editable,PPTX,12,411520,34C5DC740B70715ECC6BE7F46CD1926642253FD81ADF8DBAA72F45E2FDB57693
02-PLAYBOOK-CLOSER-POR-VERTICALES.pdf,Preparación y formación de closer,Lectura,PDF,20,1627968,51552A2B6413119ABACFE9DB0C017C6FC2A0AA8634FDBDFCF508C63DC52DAC40
02-PLAYBOOK-CLOSER-POR-VERTICALES.pptx,Preparación y formación de closer,Editable,PPTX,20,2317257,4D0340B09159090613BCE167FF7CCCEF8E8E342B6B447DF47A11EDD3291C77F4
03-MANUAL-PROSPECCION-Y-LLAMADA-FRIA.docx,Formación y operación de caller,Editable,DOCX,12,47249,E784389A858DECF4B49A335B1934A9FCA8CEDC8822623F95FEC6D3431AEFAB41
03-MANUAL-PROSPECCION-Y-LLAMADA-FRIA.pdf,Formación y operación de caller,Lectura,PDF,12,367164,6190B775ECEED2084043123715D401C5615CA3355098AEF92F87A4D3B125336A
04-MANUAL-CLOSER-REDVITALIA.docx,Diagnóstico cierre y certificación,Editable,DOCX,7,44587,6CF4C6B06BBD7428B8CEFEC3496960C70E60760A6E027ACE6721D8F969D14CB1
04-MANUAL-CLOSER-REDVITALIA.pdf,Diagnóstico cierre y certificación,Lectura,PDF,7,325620,EF64BB6545420B2DBA7E9FF4A1D4E560A76041574A0C6BCA8FBCA20DC561BBD8
05-ACADEMIA-CALLER-REDVITALIA.pdf,Formación y certificación de caller,Lectura,PDF,18,575973,C4A81BA85924A068FD88431B0F8337BC997FA20F8418E242C225BE219FDBDF74
05-ACADEMIA-CALLER-REDVITALIA.pptx,Formación y certificación de caller,Editable,PPTX,18,620153,3D4CEAC78D2298F1E3B1A962D1A3763C029963556035FF4742E7020F8741CC06
06-SECUENCIAS-MULTICANAL-B2B.docx,Prospección multicanal y seguimiento,Editable,DOCX,11,44982,61CE364245D69D2831541BFE05508ED253580C70B2E77A82FEFEB962B772A79F
06-SECUENCIAS-MULTICANAL-B2B.pdf,Prospección multicanal y seguimiento,Lectura,PDF,11,295395,B2A56A14864B8F703AF128B1328730FA79483AC6B1099B9A8521683374DA53F3
07-PLANTILLA-DIAGNOSTICO-PROPUESTA.docx,Discovery propuesta y plan mutuo,Editable,DOCX,11,43977,B96A19C00E10D024BA6FF008060798DEF500846CCA9757E8DBE6A3F9B0EF7029
07-PLANTILLA-DIAGNOSTICO-PROPUESTA.pdf,Discovery propuesta y plan mutuo,Lectura,PDF,11,298133,7C0D8B6A21D22A1DE0CD2D159D18B7CA7AA35713C93495F667ACCE8AB9040B7B
08-SISTEMA-COMERCIAL-CRM.xlsx,Operación comercial y control,Editable,XLSX,10 hojas,46554,1F559F000C4D30531367C49667A4E0005FC123BA65528EFA906D8AE0610DFEAE
