"angle","format","campaign_id","campaign_name","adset_id","ad_id","ad_name","creative_id","configured_status","effective_status","headline","primary_text","description","call_to_action","destination_url","preview_url","asset_path"
"E1","feed","120251027730570263","Sistema RedVitalia · Abogados · Desde 400 €/mes · Sep26","120251027732130263","120251027736670263","E1 · Abogados · Boca a boca · 400€","1357152939547196","PAUSED","PENDING_REVIEW","Abogados: más allá del boca a boca","Abogados: cuando vuestro despacho necesita más clientes, esperar a la próxima recomendación limita vuestras opciones. El Sistema RedVitalia conecta anuncios, página de contacto y seguimiento para abrir nuevas conversaciones. Desde 400 €/mes + IVA. Inversión publicitaria aparte. Cuéntanos qué asuntos queréis captar y en qué zona.","Desde 400 €/mes + IVA. Publicidad aparte.","LEARN_MORE","https://redvitalia.srv1480016.hstgr.cloud/abogados/redvitalia.html?utm_source=meta&utm_medium=paid_social&utm_campaign=sistema_redvitalia_abogados&utm_content=e1_meta_feed","https://fb.me/2N5LZAdcgRWSI2g","/abogados/ads/images/redvitalia_E1_meta_feed.png"
"E2","feed","120251027730570263","Sistema RedVitalia · Abogados · Desde 400 €/mes · Sep26","120251027732130263","120251027737450263","E2 · Abogados · Seguimiento · 400€","1801157217707127","PAUSED","PENDING_REVIEW","Abogados: cada consulta cuenta","Abogados: una consulta sin responder puede ser una oportunidad perdida. El Sistema RedVitalia ayuda a ordenar la captación y el seguimiento para que cada consulta tenga un siguiente paso. Desde 400 €/mes + IVA. Inversión publicitaria aparte. Hablemos de lo que necesita vuestro despacho.","Desde 400 €/mes + IVA. Publicidad aparte.","LEARN_MORE","https://redvitalia.srv1480016.hstgr.cloud/abogados/redvitalia.html?utm_source=meta&utm_medium=paid_social&utm_campaign=sistema_redvitalia_abogados&utm_content=e2_meta_feed","https://fb.me/2pXK7DLqQ2kkTEe","/abogados/ads/images/redvitalia_E2_meta_feed.png"
"E3","feed","120251027730570263","Sistema RedVitalia · Abogados · Desde 400 €/mes · Sep26","120251027732130263","120251027737780263","E3 · Abogados · Especialidad · 400€","904950665766322","PAUSED","PENDING_REVIEW","Abogados: dad voz a vuestra especialidad","Abogados de familia, herencias o Segunda Oportunidad: vuestra especialidad merece un mensaje propio. Con el Sistema RedVitalia trabajamos la captación alrededor del servicio y la zona que queréis impulsar. Desde 400 €/mes + IVA. Inversión publicitaria aparte. Conoce el sistema para tu despacho.","Desde 400 €/mes + IVA. Publicidad aparte.","LEARN_MORE","https://redvitalia.srv1480016.hstgr.cloud/abogados/redvitalia.html?utm_source=meta&utm_medium=paid_social&utm_campaign=sistema_redvitalia_abogados&utm_content=e3_meta_feed","https://fb.me/yXhJYozOBqPnG2W","/abogados/ads/images/redvitalia_E3_meta_feed.png"
"E4","feed","120251027730570263","Sistema RedVitalia · Abogados · Desde 400 €/mes · Sep26","120251027732130263","120251027738260263","E4 · Abogados · Consultas y citas · 400€","883154248067306","PAUSED","PENDING_REVIEW","Abogados: de la consulta a la cita","Abogados: ¿cuántas consultas se quedan sin llegar a una conversación? El Sistema RedVitalia conecta la publicidad con un proceso para recibir, atender y seguir las oportunidades del despacho. Desde 400 €/mes + IVA. Inversión publicitaria aparte. Revisemos dónde puede mejorar vuestro recorrido.","Desde 400 €/mes + IVA. Publicidad aparte.","LEARN_MORE","https://redvitalia.srv1480016.hstgr.cloud/abogados/redvitalia.html?utm_source=meta&utm_medium=paid_social&utm_campaign=sistema_redvitalia_abogados&utm_content=e4_meta_feed","https://fb.me/282wqK7PPEgHLzl","/abogados/ads/images/redvitalia_E4_meta_feed.png"
"E5","feed","120251027730570263","Sistema RedVitalia · Abogados · Desde 400 €/mes · Sep26","120251027732130263","120251027738840263","E5 · Abogados · Sistema completo · 400€","1609394670570146","PAUSED","PENDING_REVIEW","Sistema RedVitalia para abogados","Abogados: anuncios, página de contacto y seguimiento deben trabajar juntos. Conoce el Sistema RedVitalia para construir la captación de tu despacho alrededor de una especialidad y una zona. Desde 400 €/mes + IVA. Inversión publicitaria aparte. Hablemos de los próximos pasos de tu despacho.","Desde 400 €/mes + IVA. Publicidad aparte.","LEARN_MORE","https://redvitalia.srv1480016.hstgr.cloud/abogados/redvitalia.html?utm_source=meta&utm_medium=paid_social&utm_campaign=sistema_redvitalia_abogados&utm_content=e5_meta_feed","https://fb.me/28o5hQYT0DPgMfw","/abogados/ads/images/redvitalia_E5_meta_feed.png"
"E1","story","120251027730570263","Sistema RedVitalia · Abogados · Desde 400 €/mes · Sep26","120251027753560263","120251027758010263","E1 · Abogados · Boca a boca · 400€ · Stories/Reels 9:16","1647680576987280","PAUSED","PENDING_REVIEW","Abogados: más allá del boca a boca","Abogados: cuando vuestro despacho necesita más clientes, esperar a la próxima recomendación limita vuestras opciones. El Sistema RedVitalia conecta anuncios, página de contacto y seguimiento para abrir nuevas conversaciones. Desde 400 €/mes + IVA. Inversión publicitaria aparte. Cuéntanos qué asuntos queréis captar y en qué zona.","Desde 400 €/mes + IVA. Publicidad aparte.","LEARN_MORE","https://redvitalia.srv1480016.hstgr.cloud/abogados/redvitalia.html?utm_source=meta&utm_medium=paid_social&utm_campaign=sistema_redvitalia_abogados&utm_content=e1_meta_story","https://fb.me/2io07JwGI09rega","/abogados/ads/images/redvitalia_E1_meta_story.png"
"E2","story","120251027730570263","Sistema RedVitalia · Abogados · Desde 400 €/mes · Sep26","120251027753560263","120251027762080263","E2 · Abogados · Seguimiento · 400€ · Stories/Reels 9:16","2051154225524175","PAUSED","PENDING_REVIEW","Abogados: cada consulta cuenta","Abogados: una consulta sin responder puede ser una oportunidad perdida. El Sistema RedVitalia ayuda a ordenar la captación y el seguimiento para que cada consulta tenga un siguiente paso. Desde 400 €/mes + IVA. Inversión publicitaria aparte. Hablemos de lo que necesita vuestro despacho.","Desde 400 €/mes + IVA. Publicidad aparte.","LEARN_MORE","https://redvitalia.srv1480016.hstgr.cloud/abogados/redvitalia.html?utm_source=meta&utm_medium=paid_social&utm_campaign=sistema_redvitalia_abogados&utm_content=e2_meta_story","https://fb.me/1Wd5hK2hUqo40zr","/abogados/ads/images/redvitalia_E2_meta_story.png"
"E3","story","120251027730570263","Sistema RedVitalia · Abogados · Desde 400 €/mes · Sep26","120251027753560263","120251027764160263","E3 · Abogados · Especialidad · 400€ · Stories/Reels 9:16","1139264925298570","PAUSED","PENDING_REVIEW","Abogados: dad voz a vuestra especialidad","Abogados de familia, herencias o Segunda Oportunidad: vuestra especialidad merece un mensaje propio. Con el Sistema RedVitalia trabajamos la captación alrededor del servicio y la zona que queréis impulsar. Desde 400 €/mes + IVA. Inversión publicitaria aparte. Conoce el sistema para tu despacho.","Desde 400 €/mes + IVA. Publicidad aparte.","LEARN_MORE","https://redvitalia.srv1480016.hstgr.cloud/abogados/redvitalia.html?utm_source=meta&utm_medium=paid_social&utm_campaign=sistema_redvitalia_abogados&utm_content=e3_meta_story","https://fb.me/1VVCsNBYy3DnrOV","/abogados/ads/images/redvitalia_E3_meta_story.png"
"E4","story","120251027730570263","Sistema RedVitalia · Abogados · Desde 400 €/mes · Sep26","120251027753560263","120251027765020263","E4 · Abogados · Consultas y citas · 400€ · Stories/Reels 9:16","1425274199482973","PAUSED","IN_PROCESS","Abogados: de la consulta a la cita","Abogados: ¿cuántas consultas se quedan sin llegar a una conversación? El Sistema RedVitalia conecta la publicidad con un proceso para recibir, atender y seguir las oportunidades del despacho. Desde 400 €/mes + IVA. Inversión publicitaria aparte. Revisemos dónde puede mejorar vuestro recorrido.","Desde 400 €/mes + IVA. Publicidad aparte.","LEARN_MORE","https://redvitalia.srv1480016.hstgr.cloud/abogados/redvitalia.html?utm_source=meta&utm_medium=paid_social&utm_campaign=sistema_redvitalia_abogados&utm_content=e4_meta_story","https://fb.me/1Ut4s5lBNFKCfal","/abogados/ads/images/redvitalia_E4_meta_story.png"
"E5","story","120251027730570263","Sistema RedVitalia · Abogados · Desde 400 €/mes · Sep26","120251027753560263","120251027766190263","E5 · Abogados · Sistema completo · 400€ · Stories/Reels 9:16","1121949147168286","PAUSED","IN_PROCESS","Sistema RedVitalia para abogados","Abogados: anuncios, página de contacto y seguimiento deben trabajar juntos. Conoce el Sistema RedVitalia para construir la captación de tu despacho alrededor de una especialidad y una zona. Desde 400 €/mes + IVA. Inversión publicitaria aparte. Hablemos de los próximos pasos de tu despacho.","Desde 400 €/mes + IVA. Publicidad aparte.","LEARN_MORE","https://redvitalia.srv1480016.hstgr.cloud/abogados/redvitalia.html?utm_source=meta&utm_medium=paid_social&utm_campaign=sistema_redvitalia_abogados&utm_content=e5_meta_story","https://fb.me/2ZWtEMdi1wawUBF","/abogados/ads/images/redvitalia_E5_meta_story.png"
"E1","square","120251027730570263","Sistema RedVitalia · Abogados · Desde 400 €/mes · Sep26","120251027753870263","120251027771080263","E1 · Abogados · Boca a boca · 400€ · Cuadrado 1:1","1685471845884856","PAUSED","IN_PROCESS","Abogados: más allá del boca a boca","Abogados: cuando vuestro despacho necesita más clientes, esperar a la próxima recomendación limita vuestras opciones. El Sistema RedVitalia conecta anuncios, página de contacto y seguimiento para abrir nuevas conversaciones. Desde 400 €/mes + IVA. Inversión publicitaria aparte. Cuéntanos qué asuntos queréis captar y en qué zona.","Desde 400 €/mes + IVA. Publicidad aparte.","LEARN_MORE","https://redvitalia.srv1480016.hstgr.cloud/abogados/redvitalia.html?utm_source=meta&utm_medium=paid_social&utm_campaign=sistema_redvitalia_abogados&utm_content=e1_meta_square","https://fb.me/366OYm2nxGsZfLB","/abogados/ads/images/redvitalia_E1_meta_square.png"
"E2","square","120251027730570263","Sistema RedVitalia · Abogados · Desde 400 €/mes · Sep26","120251027753870263","120251027772230263","E2 · Abogados · Seguimiento · 400€ · Cuadrado 1:1","856926967414675","PAUSED","IN_PROCESS","Abogados: cada consulta cuenta","Abogados: una consulta sin responder puede ser una oportunidad perdida. El Sistema RedVitalia ayuda a ordenar la captación y el seguimiento para que cada consulta tenga un siguiente paso. Desde 400 €/mes + IVA. Inversión publicitaria aparte. Hablemos de lo que necesita vuestro despacho.","Desde 400 €/mes + IVA. Publicidad aparte.","LEARN_MORE","https://redvitalia.srv1480016.hstgr.cloud/abogados/redvitalia.html?utm_source=meta&utm_medium=paid_social&utm_campaign=sistema_redvitalia_abogados&utm_content=e2_meta_square","https://fb.me/22GLPlgeThLkdVr","/abogados/ads/images/redvitalia_E2_meta_square.png"
"E3","square","120251027730570263","Sistema RedVitalia · Abogados · Desde 400 €/mes · Sep26","120251027753870263","120251027773430263","E3 · Abogados · Especialidad · 400€ · Cuadrado 1:1","1791188008861644","PAUSED","IN_PROCESS","Abogados: dad voz a vuestra especialidad","Abogados de familia, herencias o Segunda Oportunidad: vuestra especialidad merece un mensaje propio. Con el Sistema RedVitalia trabajamos la captación alrededor del servicio y la zona que queréis impulsar. Desde 400 €/mes + IVA. Inversión publicitaria aparte. Conoce el sistema para tu despacho.","Desde 400 €/mes + IVA. Publicidad aparte.","LEARN_MORE","https://redvitalia.srv1480016.hstgr.cloud/abogados/redvitalia.html?utm_source=meta&utm_medium=paid_social&utm_campaign=sistema_redvitalia_abogados&utm_content=e3_meta_square","https://fb.me/22glBnGoz0tQJpr","/abogados/ads/images/redvitalia_E3_meta_square.png"
"E4","square","120251027730570263","Sistema RedVitalia · Abogados · Desde 400 €/mes · Sep26","120251027753870263","120251027774170263","E4 · Abogados · Consultas y citas · 400€ · Cuadrado 1:1","2120165785250374","PAUSED","IN_PROCESS","Abogados: de la consulta a la cita","Abogados: ¿cuántas consultas se quedan sin llegar a una conversación? El Sistema RedVitalia conecta la publicidad con un proceso para recibir, atender y seguir las oportunidades del despacho. Desde 400 €/mes + IVA. Inversión publicitaria aparte. Revisemos dónde puede mejorar vuestro recorrido.","Desde 400 €/mes + IVA. Publicidad aparte.","LEARN_MORE","https://redvitalia.srv1480016.hstgr.cloud/abogados/redvitalia.html?utm_source=meta&utm_medium=paid_social&utm_campaign=sistema_redvitalia_abogados&utm_content=e4_meta_square","https://fb.me/2n3tHzJFTWDUcEE","/abogados/ads/images/redvitalia_E4_meta_square.png"
"E5","square","120251027730570263","Sistema RedVitalia · Abogados · Desde 400 €/mes · Sep26","120251027753870263","120251027774980263","E5 · Abogados · Sistema completo · 400€ · Cuadrado 1:1","2097108517559916","PAUSED","IN_PROCESS","Sistema RedVitalia para abogados","Abogados: anuncios, página de contacto y seguimiento deben trabajar juntos. Conoce el Sistema RedVitalia para construir la captación de tu despacho alrededor de una especialidad y una zona. Desde 400 €/mes + IVA. Inversión publicitaria aparte. Hablemos de los próximos pasos de tu despacho.","Desde 400 €/mes + IVA. Publicidad aparte.","LEARN_MORE","https://redvitalia.srv1480016.hstgr.cloud/abogados/redvitalia.html?utm_source=meta&utm_medium=paid_social&utm_campaign=sistema_redvitalia_abogados&utm_content=e5_meta_square","https://fb.me/23BhjJc9uxl4dbD","/abogados/ads/images/redvitalia_E5_meta_square.png"
