"enfoque","formato","variante","texto_principal","titular","descripcion","imagen","url_final"
"E1","feed","1","Abogados: las recomendaciones son valiosas. ¿Y si vuestro despacho también tuviera una forma de darse a conocer a quienes todavía no os conocen? Sistema RedVitalia desde 400 €/mes + IVA. Inversión publicitaria aparte. Hablemos de tu despacho y del alcance de la propuesta.","Abogados, más allá del boca a boca","Desde 400 €/mes + IVA","images/redvitalia_E1_meta_feed.png","https://redvitalia.srv1480016.hstgr.cloud/abogados/redvitalia.html?utm_source=meta&utm_medium=paid_social&utm_campaign=sistema_redvitalia_abogados&utm_content=e1_meta_feed"
"E1","feed","2","Abogados, el próximo cliente puede empezar por una recomendación. También por encontrar un despacho que explique bien su especialidad y le facilite el siguiente paso. Sistema RedVitalia desde 400 €/mes + IVA. Inversión publicitaria aparte. Hablemos de tu despacho y del alcance de la propuesta.","Abogados: Sistema RedVitalia","Publicidad aparte","images/redvitalia_E1_meta_feed.png","https://redvitalia.srv1480016.hstgr.cloud/abogados/redvitalia.html?utm_source=meta&utm_medium=paid_social&utm_campaign=sistema_redvitalia_abogados&utm_content=e1_meta_feed"
"E1","feed","3","Para abogados que quieren ampliar su captación: una especialidad clara, una propuesta comprensible y un recorrido para atender el interés que llega. Sistema RedVitalia desde 400 €/mes + IVA. Inversión publicitaria aparte. Hablemos de tu despacho y del alcance de la propuesta.","Para abogados, desde 400 €/mes","Sistema para abogados","images/redvitalia_E1_meta_feed.png","https://redvitalia.srv1480016.hstgr.cloud/abogados/redvitalia.html?utm_source=meta&utm_medium=paid_social&utm_campaign=sistema_redvitalia_abogados&utm_content=e1_meta_feed"
"E1","feed","4","Abogados: cuando el boca a boca es el principal canal, cuesta planificar la captación. Revisemos qué otra vía tiene sentido para vuestro despacho. Sistema RedVitalia desde 400 €/mes + IVA. Inversión publicitaria aparte. Hablemos de tu despacho y del alcance de la propuesta.","Abogados: otra vía de captación","Definamos el alcance","images/redvitalia_E1_meta_feed.png","https://redvitalia.srv1480016.hstgr.cloud/abogados/redvitalia.html?utm_source=meta&utm_medium=paid_social&utm_campaign=sistema_redvitalia_abogados&utm_content=e1_meta_feed"
"E1","feed","5","Abogados, vuestra experiencia merece ser conocida más allá de los contactos habituales. Empecemos por el servicio, la zona y la forma de atender nuevas consultas. Sistema RedVitalia desde 400 €/mes + IVA. Inversión publicitaria aparte. Hablemos de tu despacho y del alcance de la propuesta.","Abogados: hablemos de crecer","Hablemos de tu despacho","images/redvitalia_E1_meta_feed.png","https://redvitalia.srv1480016.hstgr.cloud/abogados/redvitalia.html?utm_source=meta&utm_medium=paid_social&utm_campaign=sistema_redvitalia_abogados&utm_content=e1_meta_feed"
"E1","square","1","Abogados: las recomendaciones son valiosas. ¿Y si vuestro despacho también tuviera una forma de darse a conocer a quienes todavía no os conocen? Sistema RedVitalia desde 400 €/mes + IVA. Inversión publicitaria aparte. Hablemos de tu despacho y del alcance de la propuesta.","Abogados, más allá del boca a boca","Desde 400 €/mes + IVA","images/redvitalia_E1_meta_square.png","https://redvitalia.srv1480016.hstgr.cloud/abogados/redvitalia.html?utm_source=meta&utm_medium=paid_social&utm_campaign=sistema_redvitalia_abogados&utm_content=e1_meta_square"
"E1","square","2","Abogados, el próximo cliente puede empezar por una recomendación. También por encontrar un despacho que explique bien su especialidad y le facilite el siguiente paso. Sistema RedVitalia desde 400 €/mes + IVA. Inversión publicitaria aparte. Hablemos de tu despacho y del alcance de la propuesta.","Abogados: Sistema RedVitalia","Publicidad aparte","images/redvitalia_E1_meta_square.png","https://redvitalia.srv1480016.hstgr.cloud/abogados/redvitalia.html?utm_source=meta&utm_medium=paid_social&utm_campaign=sistema_redvitalia_abogados&utm_content=e1_meta_square"
"E1","square","3","Para abogados que quieren ampliar su captación: una especialidad clara, una propuesta comprensible y un recorrido para atender el interés que llega. Sistema RedVitalia desde 400 €/mes + IVA. Inversión publicitaria aparte. Hablemos de tu despacho y del alcance de la propuesta.","Para abogados, desde 400 €/mes","Sistema para abogados","images/redvitalia_E1_meta_square.png","https://redvitalia.srv1480016.hstgr.cloud/abogados/redvitalia.html?utm_source=meta&utm_medium=paid_social&utm_campaign=sistema_redvitalia_abogados&utm_content=e1_meta_square"
"E1","square","4","Abogados: cuando el boca a boca es el principal canal, cuesta planificar la captación. Revisemos qué otra vía tiene sentido para vuestro despacho. Sistema RedVitalia desde 400 €/mes + IVA. Inversión publicitaria aparte. Hablemos de tu despacho y del alcance de la propuesta.","Abogados: otra vía de captación","Definamos el alcance","images/redvitalia_E1_meta_square.png","https://redvitalia.srv1480016.hstgr.cloud/abogados/redvitalia.html?utm_source=meta&utm_medium=paid_social&utm_campaign=sistema_redvitalia_abogados&utm_content=e1_meta_square"
"E1","square","5","Abogados, vuestra experiencia merece ser conocida más allá de los contactos habituales. Empecemos por el servicio, la zona y la forma de atender nuevas consultas. Sistema RedVitalia desde 400 €/mes + IVA. Inversión publicitaria aparte. Hablemos de tu despacho y del alcance de la propuesta.","Abogados: hablemos de crecer","Hablemos de tu despacho","images/redvitalia_E1_meta_square.png","https://redvitalia.srv1480016.hstgr.cloud/abogados/redvitalia.html?utm_source=meta&utm_medium=paid_social&utm_campaign=sistema_redvitalia_abogados&utm_content=e1_meta_square"
"E1","story","1","Abogados: las recomendaciones son valiosas. ¿Y si vuestro despacho también tuviera una forma de darse a conocer a quienes todavía no os conocen? Sistema RedVitalia desde 400 €/mes + IVA. Inversión publicitaria aparte. Hablemos de tu despacho y del alcance de la propuesta.","Abogados, más allá del boca a boca","Desde 400 €/mes + IVA","images/redvitalia_E1_meta_story.png","https://redvitalia.srv1480016.hstgr.cloud/abogados/redvitalia.html?utm_source=meta&utm_medium=paid_social&utm_campaign=sistema_redvitalia_abogados&utm_content=e1_meta_story"
"E1","story","2","Abogados, el próximo cliente puede empezar por una recomendación. También por encontrar un despacho que explique bien su especialidad y le facilite el siguiente paso. Sistema RedVitalia desde 400 €/mes + IVA. Inversión publicitaria aparte. Hablemos de tu despacho y del alcance de la propuesta.","Abogados: Sistema RedVitalia","Publicidad aparte","images/redvitalia_E1_meta_story.png","https://redvitalia.srv1480016.hstgr.cloud/abogados/redvitalia.html?utm_source=meta&utm_medium=paid_social&utm_campaign=sistema_redvitalia_abogados&utm_content=e1_meta_story"
"E1","story","3","Para abogados que quieren ampliar su captación: una especialidad clara, una propuesta comprensible y un recorrido para atender el interés que llega. Sistema RedVitalia desde 400 €/mes + IVA. Inversión publicitaria aparte. Hablemos de tu despacho y del alcance de la propuesta.","Para abogados, desde 400 €/mes","Sistema para abogados","images/redvitalia_E1_meta_story.png","https://redvitalia.srv1480016.hstgr.cloud/abogados/redvitalia.html?utm_source=meta&utm_medium=paid_social&utm_campaign=sistema_redvitalia_abogados&utm_content=e1_meta_story"
"E1","story","4","Abogados: cuando el boca a boca es el principal canal, cuesta planificar la captación. Revisemos qué otra vía tiene sentido para vuestro despacho. Sistema RedVitalia desde 400 €/mes + IVA. Inversión publicitaria aparte. Hablemos de tu despacho y del alcance de la propuesta.","Abogados: otra vía de captación","Definamos el alcance","images/redvitalia_E1_meta_story.png","https://redvitalia.srv1480016.hstgr.cloud/abogados/redvitalia.html?utm_source=meta&utm_medium=paid_social&utm_campaign=sistema_redvitalia_abogados&utm_content=e1_meta_story"
"E1","story","5","Abogados, vuestra experiencia merece ser conocida más allá de los contactos habituales. Empecemos por el servicio, la zona y la forma de atender nuevas consultas. Sistema RedVitalia desde 400 €/mes + IVA. Inversión publicitaria aparte. Hablemos de tu despacho y del alcance de la propuesta.","Abogados: hablemos de crecer","Hablemos de tu despacho","images/redvitalia_E1_meta_story.png","https://redvitalia.srv1480016.hstgr.cloud/abogados/redvitalia.html?utm_source=meta&utm_medium=paid_social&utm_campaign=sistema_redvitalia_abogados&utm_content=e1_meta_story"
"E2","feed","1","Abogados: una consulta recibida necesita respuesta, criterio y una próxima acción. La captación cobra sentido cuando el despacho puede seguir ese recorrido. Sistema RedVitalia desde 400 €/mes + IVA. Inversión publicitaria aparte. Hablemos de tu despacho y del alcance de la propuesta.","Abogados: consulta y seguimiento","Desde 400 €/mes + IVA","images/redvitalia_E2_meta_feed.png","https://redvitalia.srv1480016.hstgr.cloud/abogados/redvitalia.html?utm_source=meta&utm_medium=paid_social&utm_campaign=sistema_redvitalia_abogados&utm_content=e2_meta_feed"
"E2","feed","2","Abogados, entre «me interesa» y una reunión hay trabajo por hacer. Revisemos quién responde, cómo se confirma el encaje y qué ocurre después. Sistema RedVitalia desde 400 €/mes + IVA. Inversión publicitaria aparte. Hablemos de tu despacho y del alcance de la propuesta.","Abogados: cada consulta cuenta","Publicidad aparte","images/redvitalia_E2_meta_feed.png","https://redvitalia.srv1480016.hstgr.cloud/abogados/redvitalia.html?utm_source=meta&utm_medium=paid_social&utm_campaign=sistema_redvitalia_abogados&utm_content=e2_meta_feed"
