"tipo","numero","texto","caracteres","maximo"
"headline","1","Para abogados","13","30"
"headline","2","Abogados: desde 400 €/mes","25","30"
"headline","3","Sistema RedVitalia: abogados","28","30"
"headline","4","Captación para abogados","23","30"
"headline","5","Abogados, más visibilidad","25","30"
"headline","6","Abogados: más que referidos","27","30"
"headline","7","Abogados: cada consulta cuenta","30","30"
"headline","8","Abogados: ordena la captación","29","30"
"headline","9","Marketing para abogados","23","30"
"headline","10","Abogados: consultas y citas","27","30"
"headline","11","Un sistema para abogados","24","30"
"headline","12","Abogados: siguiente paso","24","30"
"headline","13","Abogados: foco en el despacho","29","30"
"headline","14","Abogados: citas y seguimiento","29","30"
"headline","15","Abogados: un plan comercial","27","30"
"longHeadline","1","Abogados, más allá del boca a boca: Sistema RedVitalia desde 400 €/mes + IVA.","77","90"
"longHeadline","2","Abogados: captación y seguimiento con el Sistema RedVitalia desde 400 €/mes + IVA.","82","90"
"longHeadline","3","Abogados: da visibilidad a tu especialidad. Sistema RedVitalia desde 400 €/mes + IVA.","85","90"
"longHeadline","4","Abogados: revisemos el camino a la cita. Sistema RedVitalia desde 400 €/mes + IVA.","82","90"
"longHeadline","5","Abogados: conoce el Sistema RedVitalia desde 400 €/mes + IVA. Publicidad aparte.","80","90"
"description","1","Abogados: Sistema RedVitalia desde 400 €/mes + IVA. Publicidad aparte. Hablemos.","80","90"
"description","2","Abogados: Sistema RedVitalia desde 400 €/mes + IVA. Definimos el alcance. Medios aparte.","88","90"
"description","3","Abogados: Sistema RedVitalia desde 400 €/mes + IVA. Especialidad y zona. Medios aparte.","87","90"
"description","4","Abogados: Sistema RedVitalia desde 400 €/mes + IVA. Revisemos tu proceso. Medios aparte.","88","90"
"description","5","Abogados: Sistema RedVitalia desde 400 €/mes + IVA. Solicita una propuesta. Medios aparte.","90","90"
